opus-number,opus-avg-speed,opus-avg-vision,opus-avg-htr,opus-avg-age,hachi-number,hachi-avg-speed,hachi-avg-vision,hachi-avg-htr,hachi-avg-age,plant-number
40,129.99458,3015.776,181.24982,2981.5276,10,33.761173,520.35754,72.37198,832.14014,70
40,129.99458,3015.776,181.24982,25508.46,10,33.761173,520.35754,72.37198,7119.376,72
38,125.49971,2901.644,171.49174,7778.777,10,33.761173,520.35754,72.37198,2289.4683,41
38,125.24457,2855.0127,174.2719,4859.7617,10,33.761173,520.35754,72.37198,1427.8973,39
41,138.77882,3148.6777,184.008,4053.7766,10,33.761173,520.35754,72.37198,1105.8173,33
40,135.65936,3054.0767,178.29533,3386.359,10,33.761173,520.35754,72.37198,949.8275,32
40,135.65936,3054.0767,178.29533,3091.9634,10,33.761173,520.35754,72.37198,867.2536,25
41,139.70877,3166.8894,180.80164,2986.5361,10,33.761173,520.35754,72.37198,822.1154,24
42,143.07027,3197.4004,183.0008,2946.538,10,33.761173,520.35754,72.37198,794.53534,22
42,143.07027,3197.4004,183.0008,2897.1482,10,33.761173,520.35754,72.37198,781.2174,20
40,137.82544,3024.0986,173.89015,2761.9644,10,33.761173,520.35754,72.37198,773.6506,19
39,134.64302,2970.729,167.93378,2699.9932,10,33.761173,520.35754,72.37198,771.263,15
39,134.64302,2970.729,167.93378,2692.08,10,33.761173,520.35754,72.37198,769.0025,16
38,130.98564,2920.9055,162.57979,2599.9324,10,33.761173,520.35754,72.37198,769.6028,15
37,128.50372,2897.9426,157.84552,2557.6958,10,33.761173,520.35754,72.37198,766.45715,13
37,128.50372,2897.9426,157.84552,2560.2402,10,33.761173,520.35754,72.37198,767.2194,11
37,128.50372,2897.9426,157.84552,2563.9053,10,33.761173,520.35754,72.37198,768.31775,10
37,129.34991,2973.288,156.05203,2579.387,10,33.761173,520.35754,72.37198,766.9062,10
36,126.13154,2883.2925,149.41566,2539.334,10,33.761173,520.35754,72.37198,768.1188,10
37,129.53416,2996.1052,151.92197,2596.6418,10,33.761173,520.35754,72.37198,769.7347,11
36,130.44582,2962.8389,152.15408,2581.0908,10,33.761173,520.35754,72.37198,767.85126,10
37,132.75519,2997.9756,150.15144,2590.7317,10,33.761173,520.35754,72.37198,767.3824,10
36,129.35257,2885.1628,147.64514,2535.094,10,33.761173,520.35754,72.37198,766.22437,10
37,132.77203,2993.468,151.58911,2616.885,10,33.761173,520.35754,72.37198,768.907,10
36,132.77203,2993.468,151.58911,2615.4822,10,33.761173,520.35754,72.37198,768.4949,9
38,137.43256,3054.7722,150.38869,2694.359,10,33.761173,520.35754,72.37198,767.5462,9
39,141.65909,3163.0774,152.74039,2747.9536,10,33.761173,520.35754,72.37198,768.043,10
37,136.96144,3010.5066,140.94363,2595.9695,10,33.761173,520.35754,72.37198,765.6367,10
36,133.5588,2897.1218,137.02,2512.5916,10,33.761173,520.35754,72.37198,766.9174,10
35,131.20708,2827.8293,133.63943,2441.0325,10,33.761173,520.35754,72.37198,766.73114,10
37,139.29282,2967.3503,138.51646,2550.1826,10,33.761173,520.35754,72.37198,766.45605,10
37,138.63567,2890.261,138.70477,2562.719,10,33.761173,520.35754,72.37198,768.2578,10
35,130.24747,2692.4592,132.5717,2419.8984,10,33.761173,520.35754,72.37198,768.9463,10
36,135.2425,2755.0554,136.69188,2472.9404,10,33.761173,520.35754,72.37198,766.6993,10
35,135.2425,2755.0554,136.69188,2472.602,10,33.761173,520.35754,72.37198,766.5941,10
35,133.18184,2682.136,130.36346,2437.9062,10,33.761173,520.35754,72.37198,766.69055,9
35,133.18184,2682.136,130.36346,2439.466,10,33.761173,520.35754,72.37198,767.181,10
35,133.18184,2682.136,130.36346,2435.7415,10,33.761173,520.35754,72.37198,766.00964,10
34,128.65634,2610.3342,124.532135,2367.1282,10,33.761173,520.35754,72.37198,768.5375,11
34,128.65634,2610.3342,124.532135,2360.0322,10,33.761173,520.35754,72.37198,766.23364,9
33,124.30921,2521.2646,120.85656,2284.2048,10,33.761173,520.35754,72.37198,766.59875,10
34,128.65634,2629.5698,124.80052,2382.9993,10,33.761173,520.35754,72.37198,767.26215,11
34,128.65634,2629.5698,124.80052,2381.167,10,33.761173,520.35754,72.37198,766.6723,10
34,128.65634,2629.5698,124.80052,2379.4297,10,33.761173,520.35754,72.37198,766.11285,10
28,106.27243,2351.6265,108.00707,1929.7705,10,33.761173,520.35754,72.37198,767.4403,10
26,99.59857,2171.3794,103.456215,1818.7246,10,33.761173,520.35754,72.37198,767.0695,11
26,97.859406,2189.6235,103.736404,1861.0266,10,33.761173,520.35754,72.37198,768.5538,11
26,97.859406,2189.6235,103.736404,1856.329,10,33.761173,520.35754,72.37198,766.6136,11
26,97.859406,2189.6235,103.736404,1858.6652,10,33.761173,520.35754,72.37198,767.5786,11
26,97.859406,2189.6235,103.736404,1857.9183,10,33.761173,520.35754,72.37198,767.2701,10
26,97.859406,2189.6235,103.736404,1858.843,10,33.761173,520.35754,72.37198,767.6519,10
26,97.859406,2189.6235,103.736404,1855.9254,10,33.761173,520.35754,72.37198,766.447,10
26,97.859406,2189.6235,103.736404,1857.4391,10,33.761173,520.35754,72.37198,767.07214,10
26,95.78536,2182.7017,104.552216,1901.8466,10,33.761173,520.35754,72.37198,767.6345,10
26,95.78536,2182.7017,104.552216,1902.9362,10,33.761173,520.35754,72.37198,768.0742,10
24,88.68912,1985.7322,95.1262,1727.5227,10,33.761173,520.35754,72.37198,768.1675,10
23,86.084045,1892.0343,89.81349,1672.525,10,33.761173,520.35754,72.37198,766.52454,10
22,81.857994,1812.488,87.3072,1621.6095,10,33.761173,520.35754,72.37198,766.9186,10
21,79.83544,1732.9418,84.56878,1579.7887,10,33.761173,520.35754,72.37198,767.2919,10
20,76.432816,1620.129,82.062485,1528.3993,10,33.761173,520.35754,72.37198,767.49805,10
20,74.833244,1617.416,81.94114,1522.3992,10,33.761173,520.35754,72.37198,766.7365,10
20,74.833244,1617.416,81.94114,1524.5872,10,33.761173,520.35754,72.37198,767.83875,11
21,78.70611,1648.6318,84.46648,1582.6171,10,33.761173,520.35754,72.37198,767.7704,10
21,78.70611,1648.6318,84.46648,1581.9796,10,33.761173,520.35754,72.37198,767.46094,9
21,78.70611,1648.6318,84.46648,1579.9462,10,33.761173,520.35754,72.37198,766.4747,10
20,75.34461,1618.121,82.26733,1521.7954,10,33.761173,520.35754,72.37198,766.4325,10
20,78.70611,1727.128,85.821556,1597.2444,10,33.761173,520.35754,72.37198,767.87244,10
17,64.74896,1348.122,71.60464,1271.6641,10,33.761173,520.35754,72.37198,769.20026,10
16,61.12741,1296.4604,69.54294,1199.1061,10,33.761173,520.35754,72.37198,766.8181,12
16,61.12741,1296.4604,69.54294,1198.2833,10,33.761173,520.35754,72.37198,766.2918,10
16,61.12741,1296.4604,69.54294,1197.4131,10,33.761173,520.35754,72.37198,765.7352,9
15,57.456505,1191.7843,63.733883,1117.459,10,33.761173,520.35754,72.37198,766.50195,11
15,57.456505,1191.7843,63.733883,1118.869,10,33.761173,520.35754,72.37198,767.4691,11
15,57.456505,1191.7843,63.733883,1119.4749,10,33.761173,520.35754,72.37198,767.8846,10
16,63.87768,1242.5513,62.801792,1177.0214,10,33.761173,520.35754,72.37198,767.47546,11
16,63.87768,1242.5513,62.801792,1175.6057,10,33.761173,520.35754,72.37198,766.55237,12
16,63.87768,1242.5513,62.801792,1175.2596,10,33.761173,520.35754,72.37198,766.32666,10
17,67.75054,1273.7671,65.15349,1229.5112,10,33.761173,520.35754,72.37198,767.89825,11
17,67.75054,1273.7671,65.15349,1227.9923,10,33.761173,520.35754,72.37198,766.9497,11
16,63.87768,1242.5513,62.801792,1178.4725,10,33.761173,520.35754,72.37198,768.42175,10
15,60.00482,1211.3354,60.27646,1118.2794,10,33.761173,520.35754,72.37198,767.0646,11
15,60.00482,1211.3354,60.27646,1119.9692,10,33.761173,520.35754,72.37198,768.22375,11
15,61.94465,1243.3676,60.722427,1088.3439,10,33.761173,520.35754,72.37198,767.20465,12
15,61.94465,1243.3676,60.722427,1087.4996,10,33.761173,520.35754,72.37198,766.6095,10
14,57.718594,1135.0625,58.370735,1035.9498,10,33.761173,520.35754,72.37198,766.76086,10
13,54.831573,1062.4381,54.827843,951.54095,10,33.761173,520.35754,72.37198,767.7035,10
12,49.870506,995.24585,51.316833,866.3418,10,33.761173,520.35754,72.37198,768.1322,11
12,49.870506,995.24585,51.316833,865.69995,10,33.761173,520.35754,72.37198,767.5631,11
12,49.870506,995.24585,51.316833,864.9682,10,33.761173,520.35754,72.37198,766.9143,10
12,49.870506,995.24585,51.316833,865.6096,10,33.761173,520.35754,72.37198,767.483,10
13,53.743366,1026.4617,53.842167,939.4545,10,33.761173,520.35754,72.37198,768.54004,10
13,53.743366,1026.4617,53.842167,938.9645,10,33.761173,520.35754,72.37198,768.1391,12
13,53.743366,1026.4617,53.842167,936.3395,10,33.761173,520.35754,72.37198,765.99164,12
13,53.743366,1026.4617,53.842167,937.49207,10,33.761173,520.35754,72.37198,766.9346,12
13,53.743366,1026.4617,53.842167,936.58826,10,33.761173,520.35754,72.37198,766.1952,11
13,53.743366,1026.4617,53.842167,937.85864,10,33.761173,520.35754,72.37198,767.2345,10
15,62.211296,1247.6979,60.827694,1077.7688,10,33.761173,520.35754,72.37198,768.92633,14
15,62.211296,1247.6979,60.827694,1076.7097,10,33.761173,520.35754,72.37198,768.17065,15
15,62.211296,1247.6979,60.827694,1075.7158,10,33.761173,520.35754,72.37198,767.46155,16
15,62.211296,1247.6979,60.827694,1075.8483,9,31.393452,463.71182,67.05996,710.82416,17
16,66.08416,1278.9137,63.33399,1148.623,9,31.393452,463.71182,67.05996,710.9573,18
16,66.08416,1278.9137,63.33399,1147.9008,9,31.393452,463.71182,67.05996,710.51025,15
17,69.93983,1310.1295,65.90892,1245.596,9,31.393452,463.71182,67.05996,710.9387,15
17,69.93983,1310.1295,65.90892,1245.616,9,31.393452,463.71182,67.05996,710.9501,17
17,69.93983,1310.1295,65.90892,1246.7483,9,31.393452,463.71182,67.05996,711.5964,15
17,69.93983,1310.1295,65.90892,1244.476,9,31.393452,463.71182,67.05996,710.2994,16
17,69.93983,1310.1295,65.90892,1244.818,9,31.393452,463.71182,67.05996,710.49457,12
18,73.81269,1341.7042,68.42191,1317.5538,9,31.393452,463.71182,67.05996,710.3213,11
17,70.23452,1235.6848,62.61469,1239.8789,9,31.393452,463.71182,67.05996,711.1135,10
18,75.19559,1302.8771,66.29026,1296.968,9,31.393452,463.71182,67.05996,710.5198,10
17,70.23452,1235.6848,62.61469,1219.4744,9,31.393452,463.71182,67.05996,710.241,11
16,65.27345,1168.4926,58.939114,1162.6527,9,31.393452,463.71182,67.05996,711.02374,11
16,65.27345,1168.4926,58.939114,1162.0269,9,31.393452,463.71182,67.05996,710.6409,9
15,61.853985,1060.1875,54.99515,1088.5205,9,31.393452,463.71182,67.05996,710.1597,11
15,62.030533,1142.5153,56.90506,1088.481,9,31.393452,463.71182,67.05996,712.5939,11
16,66.40711,1250.8203,59.505646,1182.6512,9,31.393452,463.71182,67.05996,710.7558,9
15,61.842434,1203.1793,52.537216,1088.4363,9,31.393452,463.71182,67.05996,709.8176,12
12,49.76677,1032.4425,43.49298,836.96893,9,31.393452,463.71182,67.05996,709.9595,11
12,49.76677,1032.4425,43.49298,837.93463,9,31.393452,463.71182,67.05996,710.7786,10
11,45.41964,1001.22675,40.96765,779.04425,9,31.393452,463.71182,67.05996,710.0997,9
11,45.41964,1001.22675,40.96765,780.01746,9,31.393452,463.71182,67.05996,710.9868,10
11,45.41964,1001.22675,40.96765,779.47766,9,31.393452,463.71182,67.05996,710.4948,10
10,41.370235,887.6831,36.53241,710.3324,9,31.393452,463.71182,67.05996,710.11597,10
10,41.370235,887.6831,36.53241,710.9055,9,31.393452,463.71182,67.05996,710.6889,10
10,41.370235,887.6831,36.53241,710.1841,9,31.393452,463.71182,67.05996,709.96783,10
