opus-number,opus-avg-speed,opus-avg-vision,opus-avg-htr,opus-avg-age,hachi-number,hachi-avg-speed,hachi-avg-vision,hachi-avg-htr,hachi-avg-age,plant-number
40,3.4257004,72.86975,4.6197724,77.192696,10,3.280093,59.301167,6.856744,83.88219,70
40,3.3991802,74.158424,4.572394,83.56502,10,3.280093,59.301167,6.856744,90.77137,48
42,3.4071393,72.66629,4.5345864,4.758582,10,3.280093,59.301167,6.856744,5.4714384,29
42,3.5354893,75.1452,4.538286,27.707834,10,3.280093,59.301167,6.856744,31.305216,21
42,3.5354893,75.1452,4.538286,47.034466,10,3.280093,59.301167,6.856744,53.141083,21
41,3.5100935,75.013275,4.499182,57.419792,10,3.280093,59.301167,6.856744,64.29481,20
42,3.504436,74.640686,4.4825172,62.28388,10,3.280093,59.301167,6.856744,69.666985,20
42,3.4865322,75.006294,4.39633,64.2666,10,3.280093,59.301167,6.856744,72.80551,20
41,3.491753,75.387794,4.410893,65.55075,10,3.280093,59.301167,6.856744,74.36374,15
39,3.514402,75.72435,4.32351,65.26181,10,3.280093,59.301167,6.856744,75.32632,12
39,3.514402,75.72435,4.32351,65.572586,10,3.280093,59.301167,6.856744,75.68501,11
39,3.514402,75.72435,4.32351,65.70493,10,3.280093,59.301167,6.856744,75.83777,10
37,3.4916732,74.17498,4.383732,66.07412,10,3.280093,59.301167,6.856744,74.96881,10
36,3.5059457,73.06221,4.3978515,66.513855,10,3.280093,59.301167,6.856744,75.51909,11
36,3.5059457,73.06221,4.3978515,66.85375,10,3.280093,59.301167,6.856744,75.90499,10
35,3.498209,72.36315,4.4177685,67.9147,10,3.280093,59.301167,6.856744,76.039566,11
34,3.5275614,71.568756,4.357404,68.44012,10,3.280093,59.301167,6.856744,76.07648,14
30,3.5588343,71.35998,4.4197717,69.75525,10,3.280093,59.301167,6.856744,75.99513,12
25,3.6502962,70.70343,4.4063845,71.24133,10,3.280093,59.301167,6.856744,76.00745,9
25,3.6502962,70.70343,4.4063845,71.35516,10,3.280093,59.301167,6.856744,76.12892,11
25,3.6676495,73.27927,4.300071,70.97601,10,3.280093,59.301167,6.856744,76.128555,11
25,3.6676495,73.27927,4.300071,71.00705,10,3.280093,59.301167,6.856744,76.16185,10
25,3.5777993,72.11589,4.29613,72.55049,10,3.280093,59.301167,6.856744,76.02209,10
25,3.5777993,72.11589,4.29613,72.658,10,3.280093,59.301167,6.856744,76.13474,10
25,3.5777993,72.11589,4.29613,72.71239,10,3.280093,59.301167,6.856744,76.19173,10
25,3.5777993,72.11589,4.29613,72.756836,10,3.280093,59.301167,6.856744,76.2383,10
26,3.619177,73.09333,4.231647,72.12342,10,3.280093,59.301167,6.856744,76.134926,10
26,3.6201735,74.08643,4.230653,72.91814,10,3.280093,59.301167,6.856744,76.13004,10
26,3.6201735,74.08643,4.230653,72.92178,10,3.280093,59.301167,6.856744,76.13387,10
25,3.645865,72.48049,4.244862,72.559105,10,3.280093,59.301167,6.856744,76.11373,11
24,3.6566098,74.09578,4.2874436,74.11144,10,3.280093,59.301167,6.856744,76.05888,10
24,3.6566098,74.09578,4.2874436,74.21261,10,3.280093,59.301167,6.856744,76.162704,11
24,3.6566098,74.09578,4.2874436,74.26663,10,3.280093,59.301167,6.856744,76.21814,10
23,3.6960914,74.830414,4.2785673,73.03956,10,3.280093,59.301167,6.856744,76.050766,11
23,3.6960914,74.830414,4.2785673,73.101585,11,3.1876938,61.46729,6.9907017,75.11299,11
23,3.6960914,74.830414,4.2785673,73.21325,11,3.1876938,61.46729,6.9907017,75.22773,10
23,3.6960914,74.830414,4.2785673,73.1319,11,3.1876938,61.46729,6.9907017,75.14414,10
23,3.6960914,74.830414,4.2785673,73.06121,11,3.1876938,61.46729,6.9907017,75.07152,10
24,3.6420047,74.70034,4.2849307,74.13244,11,3.1876938,61.46729,6.9907017,75.122604,9
24,3.6884804,75.15748,4.264115,73.64586,11,3.1876938,61.46729,6.9907017,75.13846,10
25,3.7070289,73.499725,4.248404,72.01262,11,3.1876938,61.46729,6.9907017,75.08766,10
24,3.7241642,71.9036,4.140473,71.75469,11,3.1876938,61.46729,6.9907017,75.10758,10
24,3.7241642,71.9036,4.140473,72.16159,11,3.1876938,61.46729,6.9907017,75.53348,9
23,3.6848795,71.90097,4.0447054,73.25907,11,3.1876938,61.46729,6.9907017,75.164795,13
22,3.7274406,72.17504,4.024392,71.92752,11,3.1876938,61.46729,6.9907017,74.98349,10
21,3.6833365,70.96769,4.0050163,72.54352,11,3.1876938,61.46729,6.9907017,74.96607,12
21,3.6833365,70.96769,4.0050163,72.477806,11,3.1876938,61.46729,6.9907017,74.89816,11
22,3.652986,71.00137,3.981037,73.04141,11,3.1876938,61.46729,6.9907017,75.085,11
22,3.652986,71.00137,3.981037,72.93876,11,3.1876938,61.46729,6.9907017,74.979485,10
21,3.590667,72.07391,3.9595962,72.56264,11,3.1876938,61.46729,6.9907017,75.13887,10
20,3.6008008,73.99193,3.9640079,74.319435,11,3.1876938,61.46729,6.9907017,74.9677,10
20,3.6008008,73.99193,3.9640079,75.82428,11,3.1876938,61.46729,6.9907017,76.485664,10
19,3.7903166,77.88624,4.17264,78.08058,10,3.1388478,59.047077,7.051918,74.97459,10
19,3.6315994,75.87834,3.9896152,73.82669,10,3.1388478,59.047077,7.051918,74.97321,10
19,3.6315994,75.87834,3.9896152,74.54962,10,3.1388478,59.047077,7.051918,75.70735,11
18,3.5748205,78.33004,3.9198086,74.724724,10,3.1388478,59.047077,7.051918,75.0206,9
18,3.5748205,78.33004,3.9198086,74.88132,10,3.1388478,59.047077,7.051918,75.17781,10
19,3.5453892,77.981544,3.8513753,74.56786,10,3.1388478,59.047077,7.051918,75.72588,12
18,3.511678,79.13612,3.8862906,75.88269,10,3.1388478,59.047077,7.051918,75.16683,12
18,3.511678,79.13612,3.8862906,75.80975,10,3.1388478,59.047077,7.051918,75.09459,13
18,3.511678,79.13612,3.8862906,75.87759,10,3.1388478,59.047077,7.051918,75.16176,11
17,3.7182474,83.79119,4.114896,80.41666,10,3.1388478,59.047077,7.051918,75.2326,10
17,3.5430775,77.071495,3.8869298,76.41714,10,3.1388478,59.047077,7.051918,75.27345,10
17,3.5430775,77.071495,3.8869298,76.3839,10,3.1388478,59.047077,7.051918,75.24072,10
17,3.5430775,77.071495,3.8869298,76.49437,10,3.1388478,59.047077,7.051918,75.349525,10
17,3.5430775,77.071495,3.8869298,76.49735,10,3.1388478,59.047077,7.051918,75.35247,10
17,3.5430775,77.071495,3.8869298,76.30668,10,3.1388478,59.047077,7.051918,75.16466,11
17,3.5430775,77.071495,3.8869298,76.34893,9,3.1345239,60.415188,7.0953164,75.631294,11
17,3.5430775,77.071495,3.8869298,76.33188,9,3.1345239,60.415188,7.0953164,75.61441,11
17,3.5430775,77.071495,3.8869298,76.48272,9,3.1345239,60.415188,7.0953164,75.763824,11
17,3.5430775,77.071495,3.8869298,76.440475,9,3.1345239,60.415188,7.0953164,75.72198,12
17,3.6307774,78.590355,3.785289,75.709496,9,3.1345239,60.415188,7.0953164,75.633026,13
17,3.6307774,78.590355,3.785289,75.47821,9,3.1345239,60.415188,7.0953164,75.40196,14
17,3.6307774,78.590355,3.785289,75.64463,9,3.1345239,60.415188,7.0953164,75.56824,11
17,3.6307774,78.590355,3.785289,75.58964,9,3.1345239,60.415188,7.0953164,75.513275,10
18,3.7047162,78.07968,3.821178,76.96404,9,3.1345239,60.415188,7.0953164,75.674,11
17,3.6488984,76.935585,3.891861,78.10571,9,3.1345239,60.415188,7.0953164,75.740814,12
17,3.6488984,76.935585,3.891861,78.714905,9,3.1345239,60.415188,7.0953164,76.33159,12
17,3.6488984,76.935585,3.891861,78.00292,9,3.1345239,60.415188,7.0953164,75.64114,10
17,3.6488984,76.935585,3.891861,78.11107,9,3.1345239,60.415188,7.0953164,75.74603,10
16,3.688478,77.26226,3.9713786,79.30523,9,3.1345239,60.415188,7.0953164,75.73278,11
16,3.688478,77.26226,3.9713786,79.312325,9,3.1345239,60.415188,7.0953164,75.73956,11
17,3.7130497,76.082085,3.9940257,80.99729,9,3.1345239,60.415188,7.0953164,78.54485,11
16,3.6856034,74.74163,4.073075,77.70655,9,3.1345239,60.415188,7.0953164,75.56163,10
16,3.6856034,74.74163,4.073075,77.71693,9,3.1345239,60.415188,7.0953164,75.57175,10
15,3.753891,75.09787,4.0978975,76.43838,9,3.1345239,60.415188,7.0953164,75.609116,11
15,3.753891,75.09787,4.0978975,76.40899,9,3.1345239,60.415188,7.0953164,75.58005,10
14,3.8075137,72.30236,4.11424,77.40403,9,3.1345239,60.415188,7.0953164,75.587494,10
14,3.8075137,72.30236,4.11424,77.34629,9,3.1345239,60.415188,7.0953164,75.53112,10
13,4.1003995,77.86408,4.4307203,83.288765,9,3.1345239,60.415188,7.0953164,75.52455,10
13,3.7187319,72.525764,4.0898514,75.97264,9,3.1345239,60.415188,7.0953164,75.70019,10
13,3.7187319,72.525764,4.0898514,76.45546,9,3.1345239,60.415188,7.0953164,76.18129,10
13,3.7187319,72.525764,4.0898514,75.74914,9,3.1345239,60.415188,7.0953164,75.47751,10
13,3.7187319,72.525764,4.0898514,75.95592,9,3.1345239,60.415188,7.0953164,75.68354,11
13,3.7187319,72.525764,4.0898514,77.373985,9,3.1345239,60.415188,7.0953164,77.09652,12
13,3.7187319,72.525764,4.0898514,75.91357,9,3.1345239,60.415188,7.0953164,75.641335,12
13,3.7187319,72.525764,4.0898514,75.80848,9,3.1345239,60.415188,7.0953164,75.53663,11
13,3.7187319,72.525764,4.0898514,73.22305,9,3.1345239,60.415188,7.0953164,72.96048,10
13,3.7187319,72.525764,4.0898514,74.40675,9,3.1345239,60.415188,7.0953164,74.13992,10
13,3.7187319,72.525764,4.0898514,75.30957,8,3.2433763,62.590176,7.01493,73.288635,10
14,3.66851,72.46741,4.11424,75.907974,8,3.2433763,62.590176,7.01493,73.51512,10
14,3.66851,72.46741,4.11424,76.08285,8,3.2433763,62.590176,7.01493,73.68448,11
14,3.66851,72.46741,4.11424,76.326836,8,3.2433763,62.590176,7.01493,73.92078,10
14,3.66851,72.46741,4.11424,76.308365,8,3.2433763,62.590176,7.01493,73.90289,11
12,3.777324,72.59385,4.140883,75.60377,8,3.2433763,62.590176,7.01493,73.99283,10
12,3.777324,72.59385,4.140883,75.53543,8,3.2433763,62.590176,7.01493,73.92595,10
12,3.777324,72.59385,4.140883,75.46818,7,3.3833294,59.656128,6.8270216,75.12109,11
12,3.777324,72.59385,4.140883,75.51639,7,3.3833294,59.656128,6.8270216,75.169075,11
12,3.6785781,72.7864,3.9899065,72.31178,7,3.3833294,59.656128,6.8270216,75.20471,11
12,3.6785781,72.7864,3.9899065,72.287056,7,3.3833294,59.656128,6.8270216,75.179,11
13,3.73248,72.525764,3.9676626,69.42837,7,3.3833294,59.656128,6.8270216,75.271255,12
13,3.73248,72.525764,3.9676626,69.34579,7,3.3833294,59.656128,6.8270216,75.18172,12
13,3.73248,72.525764,3.9676626,69.28117,7,3.3833294,59.656128,6.8270216,75.11168,10
13,3.73248,72.525764,3.9676626,69.352,7,3.3833294,59.656128,6.8270216,75.18847,10
13,3.73248,72.525764,3.9676626,69.26552,7,3.3833294,59.656128,6.8270216,75.09471,10
13,3.73248,72.525764,3.9676626,69.33144,7,3.3833294,59.656128,6.8270216,75.166176,12
12,3.728793,72.59384,4.0800033,70.22559,7,3.3833294,59.656128,6.8270216,75.177086,11
12,3.728793,72.59384,4.0800033,70.24115,7,3.3833294,59.656128,6.8270216,75.19374,10
12,3.728793,72.59384,4.0800033,70.298485,7,3.3833294,59.656128,6.8270216,75.25511,12
12,3.728793,72.59384,4.0800033,70.2836,7,3.3833294,59.656128,6.8270216,75.23919,11
12,3.728793,72.59384,4.0800033,70.15769,7,3.3833294,59.656128,6.8270216,75.104385,11
12,3.728793,72.59384,4.0800033,70.184395,7,3.3833294,59.656128,6.8270216,75.13299,11
12,3.728793,72.59384,4.0800033,70.186676,7,3.3833294,59.656128,6.8270216,75.13542,11
12,3.728793,72.59384,4.0800033,70.18762,7,3.3833294,59.656128,6.8270216,75.13644,11
12,3.728793,72.59384,4.0800033,70.37825,7,3.3833294,59.656128,6.8270216,75.34051,11
12,3.728793,72.59384,4.0800033,70.29177,7,3.3833294,59.656128,6.8270216,75.247925,10
13,3.7735262,71.47188,4.1008043,71.21223,7,3.3833294,59.656128,6.8270216,75.31476,10
13,3.7735262,71.47188,4.1008043,70.96163,7,3.3833294,59.656128,6.8270216,75.049736,10
13,3.7735262,71.47188,4.1008043,70.944084,7,3.3833294,59.656128,6.8270216,75.03117,10
13,3.7735262,71.47188,4.1008043,71.05834,7,3.3833294,59.656128,6.8270216,75.152,10
13,3.7735262,71.47188,4.1008043,71.05748,7,3.3833294,59.656128,6.8270216,75.1511,10
13,3.7735262,71.47188,4.1008043,71.17363,7,3.3833294,59.656128,6.8270216,75.27394,10
13,3.7735262,71.47188,4.1008043,71.20238,7,3.3833294,59.656128,6.8270216,75.30436,10
13,3.7735262,71.47188,4.1008043,71.181305,7,3.3833294,59.656128,6.8270216,75.28205,10
13,3.7735262,71.47188,4.1008043,71.18332,7,3.3833294,59.656128,6.8270216,75.28419,11
13,3.7735262,71.47188,4.1008043,71.040665,7,3.3833294,59.656128,6.8270216,75.133316,10
13,3.7735262,71.47188,4.1008043,71.106705,7,3.3833294,59.656128,6.8270216,75.20317,10
13,3.7735262,71.47188,4.1008043,71.07125,7,3.3833294,59.656128,6.8270216,75.16567,10
13,3.7735262,71.47188,4.1008043,71.22905,7,3.3833294,59.656128,6.8270216,75.33254,11
14,3.6752746,70.42148,4.073945,68.93961,6,3.4304512,55.74406,6.576477,76.870705,10
14,3.6752746,70.42148,4.073945,68.999855,6,3.4304512,55.74406,6.576477,76.93787,11
14,3.6752746,70.42148,4.073945,68.923294,6,3.4304512,55.74406,6.576477,76.85251,11
14,3.6752746,70.421486,4.0271134,69.02326,6,3.4304512,55.74406,6.576477,76.963974,10
14,3.6752746,70.421486,4.0271134,69.06741,6,3.4304512,55.74406,6.576477,77.01321,10
14,3.6752746,70.421486,4.0271134,69.01897,6,3.4304512,55.74406,6.576477,76.959175,10
14,3.6752746,70.421486,4.0271134,68.92214,6,3.4304512,55.74406,6.576477,76.85122,11
14,3.6752746,70.421486,4.0271134,68.99642,6,3.4304512,55.74406,6.576477,76.934044,10
15,3.72221,70.353264,4.0053544,68.334015,6,3.4304512,55.74406,6.576477,76.95439,10
16,3.7490838,68.063286,3.9969795,66.10345,6,3.4304512,55.74406,6.576477,76.85165,10
17,3.7700903,69.79658,3.915956,65.65198,6,3.4304512,55.74406,6.576477,76.83114,11
17,3.7700903,69.79658,3.915956,65.61845,6,3.4304512,55.74406,6.576477,76.79189,10
17,3.7700903,69.79658,3.915956,65.663956,6,3.4304512,55.74406,6.576477,76.84515,10
